"event_type","n_event","n_account","events_per_account","n_months","events_per_account_per_month"
"ReadingOwnedBook","748260","89467",8.36353068729252,6.678571428571429,1.2522933649421955
"FirstLivebookAccess","658226","89467",7.357193155018051,6.678571428571429,1.1016118093075156
"FirstManningAccess","657340","89467",7.347290062257592,6.678571428571429,1.1001289932792115
"EBookDownloaded","277356","89467",3.1000927716364695,6.678571428571429,0.46418501393487244
"ReadingFreePreview","138197","89467",1.544670101825254,6.678571428571429,0.23128750187757813
"HighlightCreated","121643","89467",1.3596409849441693,6.678571428571429,0.20358260737131945
"FreeContentCheckout","116183","89467",1.2986128963751997,6.678571428571429,0.19444471175671438
"ReadingOpenChapter","100004","89467",1.1177752690936322,6.678571428571429,0.16736741997123905
"ProductTocLivebookLinkOpened","88130","89467",0.9850559424145215,6.678571428571429,0.14749500742035615
"LivebookLogin","62484","89467",0.698402763029944,6.678571428571429,0.10457367574779909
"DashboardLivebookLinkOpened","48308","89467",0.5399532788625974,6.678571428571429,0.08084861929493437
"WishlistItemAdded","37609","89467",0.42036728626197367,6.678571428571429,0.06294269526917252
"CrossReferenceTermOpened","34094","89467",0.3810790570824997,6.678571428571429,0.05705996576636359
"SearchMade","27861","89467",0.31141091128572546,6.678571428571429,0.04662837174331718
"SearchResultOpened","24228","89467",0.2708037600456034,6.678571428571429,0.040548156584368424
"ProductLookInsideLivebookLinkOpened","22987","89467",0.25693272379760135,6.678571428571429,0.038471209980389505
"BookmarkCreated","10900","89467",0.12183263102596488,6.678571428571429,0.018242319084101694
"EBookRegistration","8842","89467",0.09882973610381482,6.678571428571429,0.01479803535244286
"LivebookRegistration","7702","89467",0.08608760772128271,6.678571428571429,0.012890123081261582
"LivebookAccountConfirmation","7309","89467",0.08169492662098875,6.678571428571429,0.012232395429880668
"ExerciseSolved","6971","89467",0.07791699732862396,6.678571428571429,0.011666716177547973
"OrderConfirmationLivebookLinkOpened","6739","89467",0.0753238624297227,6.678571428571429,0.01127843929429003
"AddProductOffering","6511","89467",0.07277543675321627,6.678571428571429,0.010896856840053771
"NoteCreated","5181","89467",0.05790962030692881,6.678571428571429,0.00867095919034228
"UpvoteGiven","4815","89467",0.05381872645780008,6.678571428571429,0.008058418934857765
"GoToManningShoppingCart","4608","89467",0.05150502419886662,6.678571428571429,0.007711982232985376
"ShareableLinkCreated","2746","89467",0.03069288117406418,6.678571428571429,0.004595725523389289
"ShareableLinkOpened","2387","89467",0.02668022846412644,6.678571428571429,0.0039949005186927285
"RemoveProductOffering","2163","89467",0.024176512010014865,6.678571428571429,0.0036200124934781613
"AddOrUpdateCoupon","1277","89467",0.014273419249555701,6.678571428571429,0.0021371964651741154
"ProductLiveaudioUpsell","838","89467",0.00936658209172097,6.678571428571429,0.0014024828800437814
"ProductSeeFreeLinkOpened","163","89467",0.001821900812590117,6.678571428571429,0.0002727979826338143
"SherlockHolmesClueFound","10","89467",0.00011177305598712374,6.678571428571429,0.000016736072554221735
"UnknownOriginLivebookLinkOpened","3","89467",0.00003353191679613712,6.678571428571429,0.000005020821766266521
"CommentCreated","1","89467",0.000011177305598712375,6.678571428571429,0.0000016736072554221736
